node,score
11324,0.0015404621386415924
6032,0.00033009902970891267
13503,0.0037661298389516855
4105,0.0006551965589676903
6170,0.0013704111233370012
6496,0.0008152445733720116
1046,0.00028008402520756227
12989,0.0012153646093828149
17338,0.000010003000900270082
6916,0.000005001500450135041
10540,0.020741222366710013
6082,0.0008152445733720116
15044,0.05074022206661999
4926,0.0001700510153045914
13356,0.00023006902070621187
7259,0.001115334600380114
2062,0.00031509452835850753
14430,0.004631389416825047
8589,0.10264079223767131
17072,0.017655296588976695
9229,0.02760328098429529
11574,0.0026708012403721115
151,0.0026958087426227867
5093,0.00007502250675202561
1871,0.00012003601080324097
9004,0.004106231869560868
2321,0.000020006001800540163
4733,0.00025507652295688707
14028,0.0007802340702210664
5936,0.000005001500450135041
11248,0.0003401020306091828
15677,0.0017355206561968592
17439,0.0003200960288086426
4933,0.0022706812043613083
8673,0.0018705611683505052
8478,0.00040512153646093827
4701,0.00001500450135040512
6159,0.0013454036210863258
8847,0.00008002400720216065
12637,0.0012753826147844354
9724,0.002910873261978594
2844,0.00010003000900270081
17137,0.0004201260378113434
779,0.006752025607682305
4210,0.000010003000900270082
8959,0.00030009002700810244
1894,0.00014504351305391616
16929,0.0005301590477143143
14803,0.00031509452835850753
15025,0.00807742322696809
3427,0.000005001500450135041
9756,0.025992797839351805
320,0.008877663298989697
16809,0.01346403921176353
3964,0.00006001800540162048
13656,0.0009452835850755226
16100,0.000010003000900270082
6659,0.00030509152745823747
15393,0.00033009902970891267
11692,0.00019005701710513153
1078,0.0056216865059517855
12931,0.002830849254776433
15958,0.006932079623887166
1452,0.0001700510153045914
12255,0.006396919075722717
9297,0.10652695808742622
5289,0.000025007502250675202
11652,0.0009602880864259277
12750,0.018590577173151945
4645,0.00022506752025607682
6260,0.0017255176552965889
5991,0.0025357607282184657
12471,0.0044163248974692405
329,0.006366910073021906
12312,0.006561968590577173
4481,0.0011753526057817346
11930,0.00033009902970891267
6948,0.004766429928978693
13619,0.12066619985995798
16097,0.00013003901170351105
7446,0.00007002100630189057
14481,0.00006501950585175553
17542,0.0009902970891267381
3841,0.0197259177753326
8749,0.007482244673402021
5251,0.000735220566169851
8259,0.00020006001800540162
12091,0.09838451535460638
16933,0.00003000900270081024
11162,0.0002200660198059418
12711,0.0006451935580674203
12645,0.00048514554366309895
7075,0.0006501950585175553
4467,0.0035460638191457438
4846,0.000025007502250675202
365,0.00007002100630189057
13141,0.0016404921476442932
860,0.08124937481244374
13172,0.0007202160648194458
10219,0.01763028908672602
11470,0.0007602280684205261
14877,0.0017355206561968592
1333,0.012073622086625989
15321,0.0012653796138841651
6900,0.006321896568970691
15405,0.0002950885265579674
909,0.03238971691507452
9256,0.0015404621386415924
7005,0.0037761328398519555
10836,0.00035010503150945284
3292,0.00003000900270081024
13261,0.0012053616084825448
12293,0.00030509152745823747
16184,0.0006601980594178253
15153,0.00043012903871161347
4201,0.000010003000900270082
3746,0.007732319695908773
1347,0.0008302490747224168
15246,0.07174652395718716
52,0.022776833049914975
2296,0.0013604081224367311
1081,0.005741722516755026
579,0.000050015004501350405
205,0.0035310593177953387
12822,0.00799739921976593
10795,0.026282884865459637
9876,0.00010503150945283585
17478,0.0036310893267980393
3646,0.004591377413223967
7701,0.0017105131539461838
2927,0.000005001500450135041
17181,0.00033009902970891267
6999,0.0009302790837251176
7878,0.03904671401420426
6674,0.000010003000900270082
3570,0.002190657197159148
10740,0.0006101830549164749
4877,0.0006501950585175553
9421,0.0002850855256576973
12432,0.0000850255076522957
3914,0.0002200660198059418
9231,0.0038011403421026307
15653,0.004886465939781935
1607,0.000010003000900270082
9193,0.0006902070621186356
9996,0.0439331799539862
8997,0.00026507952385715713
17189,0.013238971691507452
15359,0.0019105731719515854
12633,0.00028008402520756227
5602,0.00031509452835850753
8078,0.08286485945783735
9595,0.0002600780234070221
17095,0.0006752025607682304
8055,0.004576372911873562
12492,0.000365109532859858
5215,0.0247074122236671
16179,0.0018855656697009102
10101,0.0008552565769730919
13092,0.0017505251575472643
4578,0.0000850255076522957
3377,0.00006501950585175553
6245,0.012658797639291787
11297,0.0010153045913774133
2047,0.012568770631189358
9396,0.0004651395418625588
10595,0.000020006001800540163
3174,0.00006001800540162048
3585,0.00007502250675202561
12657,0.10655696709012703
2341,0.0001700510153045914
13714,0.0011453436030809242
9496,0.00043513053916174855
8212,0.002245673702110633
5747,0.000020006001800540163
1155,0.00029008702610783233
1541,0.0019655896769030707
330,0.00005501650495148545
10656,0.00003000900270081024
10461,0.0043312993898169455
12347,0.007277183154946484
15514,0.005721716514954486
4455,0.0018805641692507752
1693,0.043137941382414724
10992,0.024772431729518856
15496,0.008232469740922276
11754,0.000740222066619986
16400,0.0002100630189056717
14232,0.0036260878263479042
6464,0.00015004501350405122
17013,0.00048514554366309895
16878,0.00006001800540162048
15054,0.00062518755626688
17066,0.007042112633790137
7912,0.045303591077323194
8485,0.000025007502250675202
2644,0.000025007502250675202
17228,0.04736420926277883
4240,0.019830949284785435
7457,0.003676102830849255
5494,0.000010003000900270082
13027,0.00029008702610783233
406,0.00025007502250675204
14921,0.0006601980594178253
14684,0.004661398419525857
12296,0.00007002100630189057
